pedido_id,cliente_id,produto_id,quantidade,preco_unitario,desconto,frete,valor_total,status,data_pedido,status_data
1,655,115,1.0,11128.43,0.0,29.54,10378.98,PAGO,2025-02-23,PEDIDO COM DATA
2,666,719,9.0,6304.41,0.13,48.95,49412.48,PAGO,2022-07-09,PEDIDO COM DATA
3,368,868,6.0,9063.82,0.24,112.16,41443.18,PENDENTE,,PEDIDO SEM DATA
4,792,297,2.0,12832.66,0.26,63.22,19055.56,PAGO,2022-12-17,PEDIDO COM DATA
5,251,168,8.0,5704.24,0.3,80.39,32043.34,CANCELADO,2022-05-16,PEDIDO COM DATA
6,966,581,6.0,3205.15,0.15,133.86,16480.12,ENVIADO,2024-01-12,PEDIDO COM DATA
7,142,522,8.0,1381.82,0.01,25.35,25248.04,PAGO,2022-08-23,PEDIDO COM DATA
10,88,750,8.0,12244.03,0.29,84.58,69630.67,PENDENTE,2023-10-01,PEDIDO COM DATA
12,881,339,2.0,7722.06,0.08,77.96,14286.55,PAGO,2022-07-18,PEDIDO COM DATA
13,363,434,7.0,7016.03,0.22,104.27,38411.79,ENVIADO,2022-10-15,PEDIDO COM DATA
14,286,474,4.0,13119.8,0.0,123.12,51552.74,PENDENTE,2022-12-07,PEDIDO COM DATA
20,289,620,4.0,10769.83,0.06,98.79,40593.35,PAGO,2023-11-15,PEDIDO COM DATA
22,921,956,1.0,13485.89,0.06,44.93,12721.67,PENDENTE,2022-12-29,PEDIDO COM DATA
23,26,184,6.0,11740.15,0.12,80.39,62091.78,PENDENTE,2024-07-31,PEDIDO COM DATA
25,268,183,10.0,14438.76,0.08,25.18,132861.77,CANCELADO,2022-04-01,PEDIDO COM DATA
26,2,533,9.0,10309.12,0.28,113.19,66916.29,CANCELADO,2024-11-04,PEDIDO COM DATA
27,419,335,7.0,10464.18,0.17,36.86,60833.75,CANCELADO,2023-08-11,PEDIDO COM DATA
28,805,594,10.0,9827.49,0.14,71.9,84588.31,CANCELADO,2022-07-11,PEDIDO COM DATA
29,770,241,5.0,3385.12,0.06,13.42,25248.04,ENVIADO,2024-10-09,PEDIDO COM DATA
30,152,672,1.0,13392.04,0.26,133.97,10044.08,PAGO,2024-07-23,PEDIDO COM DATA
31,476,684,9.0,14818.63,0.18,143.01,109504.5,ENVIADO,2024-07-10,PEDIDO COM DATA
33,66,425,7.0,4976.6,0.0,18.72,29977.85,ENVIADO,2022-01-13,PEDIDO COM DATA
34,306,772,7.0,12804.65,0.29,68.66,63707.77,PAGO,2024-04-08,PEDIDO COM DATA
35,861,479,3.0,14711.22,0.16,136.97,37209.24,CANCELADO,2023-03-10,PEDIDO COM DATA
36,346,780,7.0,4188.28,0.29,69.02,25248.04,PAGO,2022-03-05,PEDIDO COM DATA
39,580,802,1.0,5221.11,0.13,61.88,4604.25,ENVIADO,2022-11-10,PEDIDO COM DATA
40,752,535,5.0,9246.37,0.28,118.45,33405.38,ENVIADO,2023-05-15,PEDIDO COM DATA
41,584,625,7.0,5059.22,0.15,55.5,30157.86,PENDENTE,2022-06-25,PEDIDO COM DATA
42,417,501,9.0,11377.31,0.21,100.43,80993.1,ENVIADO,2025-02-07,PEDIDO COM DATA
44,604,779,9.0,8959.93,0.29,80.39,57380.52,PAGO,2022-09-16,PEDIDO COM DATA
46,577,972,5.0,1296.01,0.07,88.13,6114.58,ENVIADO,2023-09-18,PEDIDO COM DATA
47,62,625,2.0,14214.9,0.06,39.54,-500.0,PAGO,2023-04-20,PEDIDO COM DATA
48,290,720,8.0,1086.27,0.07,47.04,8128.89,CANCELADO,,PEDIDO SEM DATA
49,812,315,10.0,11239.39,0.17,50.41,93337.35,PAGO,2024-06-03,PEDIDO COM DATA
50,619,257,1.0,1388.08,0.29,80.39,1112.57,ENVIADO,2024-11-28,PEDIDO COM DATA
