pagamento_id,pedido_id,forma_pagamento,parcelas,bandeira_cartao,valor_pago,status,data_pagamento,status_data
1,1825,PIX,12,SEM BANDEIRA,4139.94,PAGO,2022-02-24,COM DATA
2,8929,DINHEIRO,4,SEM BANDEIRA,6749.15,PENDENTE,2024-01-06,COM DATA
3,9892,BOLETO,1,SEM BANDEIRA,10951.38,ESTORNADO,2022-04-04,COM DATA
4,4742,PIX,4,SEM BANDEIRA,12999.93,PENDENTE,2022-12-17,COM DATA
5,4011,CARTÃO,8,SEM BANDEIRA,5704.24,ESTORNADO,2023-03-09,COM DATA
6,9293,BOLETO,4,SEM BANDEIRA,9838.47,PENDENTE,2022-10-11,COM DATA
7,1490,PIX,2,SEM BANDEIRA,2309.56,PAGO,2022-08-23,COM DATA
8,8798,CARTAO,11,SEM BANDEIRA,5115.83,PENDENTE,2023-09-04,COM DATA
9,8318,CARTÃO,3,AMERICAN EXPRESS,5621.23,PAGO,2023-09-22,COM DATA
10,3947,PIX,2,SEM BANDEIRA,10983.98,PAGO,2023-02-16,COM DATA
11,6538,PIX,8,SEM BANDEIRA,13496.22,PENDENTE,2022-03-06,COM DATA
12,1161,CARTÃO,5,AMERICAN EXPRESS,10041.29,PAGO,2024-06-01,COM DATA
13,11492,DINHEIRO,12,SEM BANDEIRA,831.48,ESTORNADO,2023-05-27,COM DATA
14,1236,DINHEIRO,9,SEM BANDEIRA,1486.67,ESTORNADO,,SEM DATA
15,4346,DINHEIRO,5,SEM BANDEIRA,6356.65,ESTORNADO,2024-10-26,COM DATA
16,10140,CARTÃO,1,MASTERCARD,14412.47,PAGO,2024-05-08,COM DATA
17,9261,BOLETO,5,SEM BANDEIRA,3079.8,ESTORNADO,2025-02-27,COM DATA
18,1201,CARTÃO,9,VISA,3992.7,PENDENTE,2022-01-17,COM DATA
19,9087,BOLETO,11,SEM BANDEIRA,1571.73,PAGO,2023-06-25,COM DATA
20,11580,PIX,2,SEM BANDEIRA,9521.58,PENDENTE,2022-11-02,COM DATA
21,6050,CARTÃO,7,ELO,1929.13,PENDENTE,2024-04-12,COM DATA
22,11509,CARTÃO,3,HIPERCARD,14643.57,PAGO,2022-08-10,COM DATA
23,635,DINHEIRO,4,SEM BANDEIRA,0.0,PENDENTE,2023-12-21,COM DATA
24,6549,BOLETO,0,SEM BANDEIRA,1747.82,PENDENTE,2024-02-28,COM DATA
25,3115,CARTAO,1,SEM BANDEIRA,10637.6,PAGO,2024-04-16,COM DATA
