produto_id,nome,categoria,marca,preco,estoque,data_cadastro,status_data
1,MOUSE GAMER,MOUSE,Logitech,9598.61,12,2025-01-21,COM DATA
2,FONTE 650W,FONTE,Logitech,6340.39,15,2025-01-21,COM DATA
4,MEMÓRIA 16GB,MEMÓRIA,Dell,5062.19,47,2024-07-29,COM DATA
6,SSD 240GB,SSD,Lenovo,706.45,116,2024-07-17,COM DATA
7,HEADSET GAMER,HEADSET,Samsung,5485.19,189,2022-12-17,COM DATA
8,FONTE 750W,FONTE,Corsair,3687.27,236,2023-10-27,COM DATA
9,RTX 4060,PLACA DE VÍDEO,Kingston,11644.48,117,2023-10-07,COM DATA
10,SSD 1TB,SSD,AMD,7498.48,452,2025-01-08,COM DATA
11,MOUSE GAMER,MOUSE,Redragon,8777.1,459,2022-04-07,COM DATA
12,MONITOR 24,MONITOR,Intel,2309.56,81,2024-12-19,COM DATA
15,CORE I5,PROCESSADOR,AMD,7624.79,101,2022-01-02,COM DATA
16,HD 2TB,HD,Kingston,7339.31,57,2022-06-11,COM DATA
17,MOUSE GAMER,MOUSE,AMD,7300.14,35,2022-12-05,COM DATA
18,IMPRESSORA LASER,IMPRESSORA,Logitech,13089.05,216,2023-10-01,COM DATA
19,MONITOR 27,MONITOR,Asus,10081.87,191,2022-02-13,COM DATA
21,CORE I7,PROCESSADOR,Redragon,7291.51,276,2024-08-26,COM DATA
22,RTX 4070,PLACA DE VÍDEO,Dell,2872.34,49,,SEM DATA
23,RX 7600,PLACA DE VÍDEO,Lenovo,12012.88,55,2024-08-05,COM DATA
24,MONITOR 27,MONITOR,Samsung,13850.52,226,2023-04-30,COM DATA
25,MOUSE SEM FIO,MOUSE,Lenovo,7294.9,109,2024-07-20,COM DATA
26,HEADSET GAMER,HEADSET,Lenovo,10454.94,374,2023-03-22,COM DATA
29,RYZEN 7,PROCESSADOR,HP,615.33,41,2023-10-06,COM DATA
30,IMPRESSORA LASER,IMPRESSORA,Intel,5948.87,343,2025-02-27,COM DATA
31,MEMÓRIA 16GB,MEMÓRIA,HP,1117.45,109,2024-01-27,COM DATA
32,FONTE 750W,FONTE,AOC,6584.0,278,2025-02-09,COM DATA
33,MONITOR 27,MONITOR,Lenovo,9957.56,480,2023-08-01,COM DATA
34,RYZEN 7,PROCESSADOR,AOC,10769.83,104,2022-04-15,COM DATA
36,HEADSET GAMER,HEADSET,Dell,6426.75,4,2024-01-27,COM DATA
38,FONTE 650W,FONTE,HP,5318.11,286,2022-11-29,COM DATA
39,MEMÓRIA 8GB,MEMÓRIA,Redragon,12165.36,451,2023-05-24,COM DATA
