pedido_id,cliente_id,produto_id,quantidade,preco_unitario,desconto,frete,valor_total,status,data_pedido
1,655,115,1,11128.43,,29.54,10378.98,PAGO,2025-02-23
2,666,719,9,6304.41,0.13,48.95,49412.48,PAGO,2022-07-09
3,368,868,6,9063.82,0.24,112.16,41443.18,PENDENTE,05-23-2022
4,792,297,2,12832.66,0.26,63.22,19055.56,PAGO,2022-12-17
5,251,168,8,5704.24,0.3,,32043.34,CANCELADO,2022-05-16
6,966,581,6,3205.15,0.15,133.86,16480.12,ENVIADO,2024-01-12
7,142,522,8,1381.82,0.01,25.35,mil,PAGO,2022-08-23
8,550,1370,5,11533.61,0.1,51.09,51952.33,CANCELADO,2024-11-05
9,1166,383,3,8099.9,0.23,84.25,18795.02,PENDENTE,2025-03-07
10,88,750,8,12244.03,0.29,84.58,69630.67,PENDENTE,2023-10-01
11,688,666,6,6582.74,0.16,26.94,33203.95,PENDENTE,2022-05-19
12,881,339,2,7722.06,0.08,77.96,14286.55,PAGO,2022-07-18
13,363,434,7,7016.03,0.22,104.27,38411.79,ENVIADO,2022-10-15
14,286,474,4,13119.8,,123.12,51552.74,PENDENTE,2022-12-07
15,493,219,7,13538.59,0.05,10.3,90041.92,ENVIADO,2022-11-14
16,1300,992,1,8696.12,0.16,114.72,7419.46,PAGO,2022-05-20
17,1042,414,2,14125.11,0.17,91.05,23538.73,PENDENTE,2023-06-28
18,1319,661,5,6869.22,0.28,141.0,0,PAGO,2023-05-16
19,162,1419,9,10559.03,0.18,148.21,78073.85,PAGO,2025-02-07
20,289,620,4,10769.83,0.06,98.79,40593.35,PAGO,2023-11-15
21,1039,269,3,11123.64,,69.88,27767.74,ENVIADO,2022/09/19
22,921,956,1,13485.89,0.06,44.93,12721.67,PENDENTE,2022-12-29
23,26,184,6,11740.15,0.12,,62091.78,PENDENTE,2024-07-31
24,841,1396,4,3359.39,0.2,65.79,10815.84,PAGO,2022-08-25
25,268,183,10,14438.76,0.08,25.18,132861.77,CANCELADO,2022-04-01
26,2,533,9,10309.12,0.28,113.19,66916.29,CANCELADO,2024-11-04
27,419,335,7,10464.18,0.17,36.86,60833.75,CANCELADO,2023-08-11
28,805,594,10,9827.49,0.14,71.9,84588.31,CANCELADO,2022-07-11
29,770,241,5,3385.12,0.06,13.42,mil,ENVIADO,2024-10-09
30,152,672,1,13392.04,0.26,133.97,10044.08,PAGO,2024-07-23
31,476,684,9,14818.63,0.18,143.01,109504.5,ENVIADO,2024-07-10
32,254,1147,5,11491.89,0.16,97.74,48363.68,ENVIADO,2022-11-09
33,66,425,7,4976.6,,18.72,29977.85,ENVIADO,2022-01-13
34,306,772,7,12804.65,0.29,68.66,63707.77,PAGO ,2024-04-08
35,861,479,3,14711.22,0.16,136.97,37209.24,CANCELADO,2023-03-10
36,346,780,7,4188.28,0.29,69.02,R$500,PAGO,2022-03-05
37,205,860,1,9327.61,0.07,76.3,8750.98,PAGO,2022-12-02
38,111,593,1,13934.73,0.17,137.12,11702.95,CANCELADO,2022-09-05
39,580,802,1,5221.11,0.13,61.88,4604.25,ENVIADO,2022-11-10
40,752,535,5,9246.37,0.28,118.45,33405.38,ENVIADO,2023-05-15
41,584,625,7,5059.22,0.15,55.5,30157.86,PENDENTE,2022-06-25
42,417,501,9,11377.31,0.21,100.43,80993.1,ENVIADO,2025-02-07
43,436,764,9,4975.25,0.21,47.93,35421.96,PENDENTE,2024-09-18
44,604,779,9,8959.93,0.29,,57380.52,PAGO ,2022-09-16
45,771,503,dez,13093.34,0.17,75.72,21810.66,PAGO,2022-11-07
46,577,972,5,1296.01,0.07,88.13,6114.58,ENVIADO,2023-09-18
47,62,625,2,14214.9,0.06,39.54,-500,PAGO,2023-04-20
48,290,720,8,1086.27,0.07,47.04,8128.89,CANCELADO,10-19-2022
49,812,315,10,11239.39,0.17,50.41,93337.35,PAGO,2024-06-03
50,619,257,1,1388.08,0.29,,1112.57,ENVIADO,2024-11-28
