pagamento_id,pedido_id,forma_pagamento,parcelas,bandeira_cartao,valor_pago,status,data_pagamento
1,1825,PIX,12,,4139.94,PAGO,2022-02-24
2,8929,Dinheiro,4,,6749.15,PENDENTE,2024-01-06
3,9892,Boleto,1,,10951.38,ESTORNADO,2022-04-04
4,4742,PIX,4,,12999.93,PENDENTE,2022-12-17
5,4011,Cartão,8,,5704.24,ESTORNADO,2023-03-09
6,9293,Boleto,4,,9838.47,PENDENTE,2022-10-11
7,1490,PIX,2,,2309.56,PAGO,2022-08-23
8,8798,Cartao,11,,5115.83,PENDENTE,2023-09-04
9,8318,Cartão,3,American Express,5621.23,PAGO,2023-09-22
10,3947,PIX,2,,10983.98,PAGO,2023-02-16
11,6538,pix,8,,13496.22,PENDENTE,2022-03-06
12,1161,Cartão,5,American Express,10041.29,PAGO,2024-06-01
13,11492,Dinheiro,12,,831.48,ESTORNADO,2023-05-27
14,1236,Dinheiro,9,,1486.67,ESTORNADO,31/02/2025
15,4346,Dinheiro,5,,6356.65,ESTORNADO,2024-10-26
16,10140,Cartão,1,Mastercard,14412.47,PAGO,2024-05-08
17,9261,Boleto,5,,3079.8,ESTORNADO,2025-02-27
18,1201,Cartão,9,Visa,3992.7,PENDENTE,2022-01-17
19,9087,Boleto,11,,1571.73,PAGO,2023-06-25
20,11580,PIX,2,,9521.58,PENDENTE,2022-11-02
21,6050,Cartão,7,Elo,1929.13,PENDENTE,2024-04-12
22,11509,Cartão,3,Hipercard,14643.57,PAGO,2022-08-10
23,635,Dinheiro,4,,0,PENDENTE,2023-12-21
24,6549,Boleto,,,1747.82,PENDENTE,2024-02-28
25,3115,Cartao,1,,10637.6,PAGO,2024-04-16
26,4845,Cartão,4,,6318.29,PENDENTE,2023-10-22
27,7245,Cartão,9,Mastercard,7108.33,ESTORNADO,2023-02-12
28,758,Cartão,,Hipercard,9176.88,PAGO,2022-08-07
29,3586,Cartão,12,American Express,7779.01,PAGO,2024-06-25
30,8271,Dinheiro,9,,6699.79,PAGO,2023-08-09
31,5503,Boleto,9,,1227.05,PAGO,2024-03-08
32,9570,PIX,10,,5718.11,PAGO,2024-09-26
33,7141,Dinheiro,1,,5845.08,ESTORNADO,2022-06-21
34,2224,Dinheiro,3,,773.26,PENDENTE,2022-02-09
35,854,Boleto,4,,0,ESTORNADO,2024-08-10
36,6044,Cartão,10,,9116.57,PAGO ,02-11-2023
37,1670,Boleto,11,,9014.17,PAGO,2024-01-12
38,7533,Cartão,7,,2658.53,ESTORNADO,2022-06-27
39,7386,Cartão,8,Hipercard,8556.35,ESTORNADO,2023-07-20
40,8465,Cartão,2,,3635.51,PENDENTE,2023-05-14
41,9529,Boleto,8,,8311.02,PENDENTE,2025-01-02
42,3034,Cartão,4,,11084.3,PENDENTE,2024-12-29
43,746,PIX ,9,,4396.21,PAGO,2022-05-14
44,1214,PIX,3,,2254.98,ESTORNADO,2024-06-25
45,9643,Dinheiro,,,8538.07,PAGO,2024-07-11
46,7700,Boleto,1,,3487.51,ESTORNADO,2024-05-20
47,3684,Cartão,5,Visa,12402.93,PAGO,2023-07-12
48,8091,Pix,2,,8978.59,PENDENTE,2023-07-06
49,2871,Dinheiro,9,,9779.61,PENDENTE,2022-11-26
50,8118,Boleto,11,,14179.0,ESTORNADO,2025-01-16
51,889,PIX ,9,,5439.45,PENDENTE,2023-05-06
52,5092,PIX,9,,6131.7,PAGO,2024-08-25
53,9032,Cartão,doze,American Express,,ESTORNADO,2025-04-02
54,8023,Cartão,8,Elo,8087.94,PENDENTE,31/02/2025
55,6247,,11,,11890.06,ESTORNADO,2022-02-01
56,6718,Cartão,2,Elo,7052.97,PENDENTE,2024-09-26
57,589,PIX,4,,9474.79,PENDENTE,2022-04-05
58,920,Boleto,6,,5635.12,Pendente,2025-04-09
59,7556,Boleto,8,,3844.79,PAGO,2023-05-28
60,4950,Cartão,7,Mastercard,12802.97,Pendente,2022-04-11
61,8139,Boleto,4,,9113.83,PENDENTE,2022-03-22
62,7223,PIX,10,,5485.62,PAGO,2023-07-13
63,4211,boleto,5,,11203.46,PENDENTE,2024-01-20
64,6465,PIX,,,8057.85,PENDENTE,2025-02-23
65,9996,Cartão,11,,966.99,PENDENTE,2022-10-05
66,6079,Dinheiro,10,,11139.19,PAGO,2023-04-29
67,10566,Boleto,9,,13527.41,ESTORNADO,2022/02/13
68,3991,Cartão,10,Mastercard,3093.98,ESTORNADO,2022-09-24
69,2859,PIX,11,,R$500,Estornado,2024-07-07
70,8409,PIX,8,,7567.5,ESTORNADO,2024-05-23
71,10564,Dinheiro,2,,13491.02,PENDENTE,2024-05-31
