produto_id,nome,categoria,marca,preco,estoque,data_cadastro
1,Mouse Gamer,Fonte,Logitech,9598.61,12,2025-01-21
2,Fonte 650W,,Logitech,6340.39,15,2025-01-21
3,Headset Gamer,SSD,LG,6749.15,-10,2023-03-17
4,Memória 16GB,Headset,Dell,5062.19,47,2024-07-29
5,Fonte 650W,HD,Kingston,mil,193,2023-01-29
6,SSD 240GB,Memória,Lenovo,706.45,116,2024-07-17
7,Headset Gamer,Fonte,Samsung,5485.19,189,2022-12-17
8,Fonte 750W,Teclado,Corsair,3687.27,236,2023-10-27
9,RTX 4060,Teclado,Kingston,11644.48,117,2023-10-07
10,SSD 1TB,Gabinete,AMD,7498.48,452,2025-01-08
11,Mouse Gamer,Monitor,Redragon,8777.1,459,2022-04-07
12,Monitor 24,Placa Mãe,Intel,2309.56,81,2024-12-19
13,Core i5,Headset,Corsair,-100,482,2023-11-28
14,Impressora Laser,Impressora,Samsung,mil,232,2023-09-04
15,Core i5,Impressora,AMD,7624.79,101,2022-01-02
16,HD 2TB,Teclado,Kingston,7339.31,57,2022-06-11
17,Mouse Gamer,Placa de Vídeo,AMD,7300.14,35,2022-12-05
18,Impressora Laser,Teclado,Logitech,13089.05,216,2023-10-01
19,Monitor 27,Monitor,Asus,10081.87,191,2022-02-13
20,Notebook Office,Monitor,AMD,-100,112,2023-05-03
21,Core i7,Teclado,Redragon,7291.51,276,2024-08-26
22,RTX 4070,Gabinete,Dell,2872.34,49,2022/07/21
23,RX 7600,Mouse,Lenovo,12012.88,55,2024-08-05
24,Monitor 27,notebook,Samsung,13850.52,226,2023-04-30
25,Mouse Sem Fio,Memória,Lenovo,7294.9,109,2024-07-20
26,Headset Gamer,Teclado,Lenovo,10454.94,374,2023-03-22
27,Ryzen 5,Webcam,AMD,mil,,99/99/9999
28,SSD 240GB,Impressora,Kingston,-100,95,2023-05-20
29,Ryzen 7,SSD,HP,615.33,41,2023-10-06
30,Impressora Laser,Notebook,Intel,5948.87,343,2025-02-27
31,Memória 16GB,Impressora,HP,1117.45,109,2024-01-27
32,Fonte 750W,Fonte,AOC,6584.0,278,2025-02-09
33,Monitor 27,Mouse,Lenovo,9957.56,480,2023-08-01
34,Ryzen 7,Impressora,AOC,10769.83,104,2022-04-15
35,Fonte 750W,Mouse,Logitech,mil,141,2024-06-23
36,Headset Gamer,Processador,Dell,6426.75,4,2024-01-27
37,Notebook Office,Teclado,Corsair,mil,65,2023-05-27
38,Fonte 650W,Impressora,HP,5318.11,286,2022-11-29
39,Memória 8GB,Memória,Redragon,12165.36,451,2023-05-24
40,SSD 240GB,Impressora,Intel,11814.87,cem,2023-12-18
41,RTX 4060,Webcam,Samsung,11934.28,116,2023-07-26
42,Notebook Gamer,SSD,LG,7650.9,347,2025-04-04
43,Memória 8GB,Processador,Samsung,3996.69,55,2024-02-28
44,Gabinete RGB,Gabinete,Logitech,2867.38,,2023-02-08
